title,douban_link
别当欧尼酱了！ お兄ちゃんはおしまい！,https://movie.douban.com/subject/35880801/
落叶 Dead Leaves,https://movie.douban.com/subject/1947265/
一念永恒 第一季,https://movie.douban.com/subject/30425739/
成为名垂青史的恶役千金吧！ 歴史に残る悪女になるぞ,https://movie.douban.com/subject/36515055/
黑子的篮球 第三季 黒子のバスケ 第3期,https://movie.douban.com/subject/25897310/
吉伊卡哇 ちいかわ,https://movie.douban.com/subject/35644319/
干物妹！小埋 干物妹! うまるちゃん,https://movie.douban.com/subject/26282460/
攻壳机动队 第二季 攻殻機動隊 S.A.C. 2nd GIG,https://movie.douban.com/subject/1460947/
尸鬼 屍鬼,https://movie.douban.com/subject/4312800/
终末的火车前往何方？ 终末トレインどこへいく？,https://movie.douban.com/subject/36122397/
轻音少女 剧场版 映画 けいおん!,https://movie.douban.com/subject/5403927/
命运石之门剧场版：负荷领域的既视感 劇場版 STEINS;GATE 負荷領域のデジャヴ,https://movie.douban.com/subject/6844861/
少年歌行 风花雪月篇,https://movie.douban.com/subject/34925305/
夏目友人帐：曾几何时下雪之日 夏目友人帳 いつかゆきのひに,https://movie.douban.com/subject/25736048/
夏目友人帐 第六季 特别篇 梦幻的碎片 夏目友人帳 陸 特別編 夢幻のかけら,https://movie.douban.com/subject/27167055/
一拳超人 第三季 ワンパンマン 3,https://movie.douban.com/subject/34604875/
攻壳机动队SSS 攻殻機動隊 STAND ALONE COMPLEX Solid State Society,https://movie.douban.com/subject/1870128/
尼尔：自动人形 Ver1.1a NieR:Automata Ver1.1a,https://movie.douban.com/subject/35785946/
知晓天空之蓝的人啊 空の青さを知る人よ,https://movie.douban.com/subject/33218345/
黑袍纠察队：劣迹 The Boys Presents: Diabolical,https://movie.douban.com/subject/35693398/
小马宝莉：新世代 My Little Pony: A New Generation,https://movie.douban.com/subject/34938552/
太空堡垒 Robotech,https://movie.douban.com/subject/1807994/
2.5次元的诱惑 2.5次元の誘惑,https://movie.douban.com/subject/36992623/
好想告诉你 第三季 君に届け 3RD SEASON,https://movie.douban.com/subject/36544319/
大耳朵图图,https://movie.douban.com/subject/3111378/
魔女之旅 魔女の旅々,https://movie.douban.com/subject/34867999/
鲁邦三世VS名侦探柯南 ルパン三世vs名探偵コナン,https://movie.douban.com/subject/3612790/
游戏人生 ノーゲーム・ノーライフ,https://movie.douban.com/subject/24883272/
降世神通 第一季 Avatar: The Last Airbender Season 1,https://movie.douban.com/subject/1938084/
回转企鹅罐 輪るピングドラム,https://movie.douban.com/subject/6085356/
秦时明月之君临天下,https://movie.douban.com/subject/20501094/
哆啦A梦：大雄的新魔界大冒险之7个魔法师 ドラえもん のび太の新魔界大冒険 〜7人の魔法使い〜,https://movie.douban.com/subject/3755531/
海边的异邦人 海辺のエトランゼ,https://movie.douban.com/subject/34869495/
愿来世为他人 来世は他人がいい,https://movie.douban.com/subject/36614949/
鲁邦三世VS名侦探柯南 剧场版 ルパン三世vs名探偵コナン THE MOVIE,https://movie.douban.com/subject/24298212/
心灵想要大声呼喊 心が叫びたがってるんだ。,https://movie.douban.com/subject/25975249/
路人女主的养成方法 Fine 冴えない彼女の育てかた Fine,https://movie.douban.com/subject/27596682/
不死者之王 オーバーロード,https://movie.douban.com/subject/25972406/
枕刀歌,https://movie.douban.com/subject/35350794/
钢之炼金术师：香巴拉的征服者 鋼の錬金術師 シャンバラを征く者,https://movie.douban.com/subject/1448755/
狐妖小红娘剧场版：王权富贵,https://movie.douban.com/subject/26946612/
物理魔法使马修 第二季 マッシュル-MASHLE- 神覚者候補選抜試験編,https://movie.douban.com/subject/36464643/
夜晚的水母不会游泳 夜のクラゲは泳げない,https://movie.douban.com/subject/36330220/
欢迎来到实力至上主义的教室 第三季 ようこそ実力至上主義の教室へ 3期,https://movie.douban.com/subject/35795491/
她和她的猫 彼女と彼女の猫,https://movie.douban.com/subject/1483507/
夏目友人帐 第五季 特别篇 一夜酒杯 夏目友人帳 伍 特別編 一夜盃,https://movie.douban.com/subject/27011740/
黑之契约者 DARKER THAN BLACK -黒の契約者-,https://movie.douban.com/subject/2052059/
小林家的龙女仆S 小林さんちのメイドラゴンS,https://movie.douban.com/subject/30459061/
斗罗大陆: 双神大战,https://movie.douban.com/subject/36145513/
迷宫物语 迷宮物語,https://movie.douban.com/subject/1457127/
数码宝贝3：驯兽师之王 デジモンテイマーズ,https://movie.douban.com/subject/3131665/
防风少年 WIND BREAKER,https://movie.douban.com/subject/36330084/
