title,douban_link
偶像梦幻祭 あんさんぶるスターズ！,https://movie.douban.com/subject/26761907/
风人物语 風人物語,https://movie.douban.com/subject/1850846/
咕噜咕噜魔法阵 魔法陣グルグル,https://movie.douban.com/subject/2373452/
圣剑学院的魔剑使 聖剣学院の魔剣使い,https://movie.douban.com/subject/35634435/
带着智能手机闯荡异世界 異世界はスマートフォンとともに。,https://movie.douban.com/subject/27003498/
K 剧场版 劇場版 K MISSING KINGS,https://movie.douban.com/subject/20473395/
男子游泳部剧场版：最后的划水 前篇 劇場版 Free! -the Final Stroke- 前編,https://movie.douban.com/subject/30433388/
越狱兔 第五季 ウサビッチ シーズン5,https://movie.douban.com/subject/19944226/
壳中少女：排气 マルドゥック・スクランブル 排気,https://movie.douban.com/subject/10355625/
纯情房东俏房客 ラブひな,https://movie.douban.com/subject/1940510/
未来日记Redial 未来日記リダイヤル,https://movie.douban.com/subject/20470243/
海贼王特别篇：空岛之章 ワンピース エピソードオブ 空島,https://movie.douban.com/subject/30313854/
混凝土革命 超人幻想 コンクリート・レボルティオ 超人幻想,https://movie.douban.com/subject/26436430/
近所物语 ご近所物語,https://movie.douban.com/subject/1770834/
太阳王子霍尔斯的大冒险 太陽の王子 ホルスの大冒険,https://movie.douban.com/subject/1439204/
暗芝居 第三季 闇芝居 第3期,https://movie.douban.com/subject/26662234/
妖怪名单 第一季,https://movie.douban.com/subject/26282542/
橘色奇迹 orange,https://movie.douban.com/subject/26729329/
满怀美梦的少年是现实主义者 夢見る男子は現実主義者,https://movie.douban.com/subject/36134386/
天地无用 天地無用!,https://movie.douban.com/subject/3780341/
我的小马驹：友谊大魔法 第九季 My Little Pony: Friendship Is Magic Season 9,https://movie.douban.com/subject/33413635/
猪猪侠第三部：勇闯未来之城,https://movie.douban.com/subject/4848106/
银河铁道999 銀河鉄道999,https://movie.douban.com/subject/1962820/
神魄,https://movie.douban.com/subject/25722385/
和谐 ハーモニー,https://movie.douban.com/subject/25850802/
破灭之国 はめつのおうこく,https://movie.douban.com/subject/36209128/
地狱老师 地獄先生ぬ〜べ〜,https://movie.douban.com/subject/1963987/
名侦探柯南OVA11：来自伦敦的秘密指令 名探偵コナン ロンドンからの秘指令,https://movie.douban.com/subject/6110568/
LoveLive! 虹咲学园学园偶像同好会 第二季 ラブライブ！虹ヶ咲学園スクールアイドル同好会 2期,https://movie.douban.com/subject/35461483/
三人行必有我妹 この中に1人、妹がいる!,https://movie.douban.com/subject/10563733/
天才王子的赤字国家再生术 天才王子の赤字国家再生術,https://movie.douban.com/subject/35351353/
天地创造设计部 天地創造デザイン部,https://movie.douban.com/subject/35048149/
爆笑虫子 第三季 라바 시즌3,https://movie.douban.com/subject/26717007/
木乃伊 Mummies,https://movie.douban.com/subject/36219857/
放浪男孩 放浪息子,https://movie.douban.com/subject/5273301/
城市猎人 第二部 シティーハンター 2,https://movie.douban.com/subject/3042470/
放浪男孩 放浪息子,https://movie.douban.com/subject/5273301/
城市猎人 第二部 シティーハンター 2,https://movie.douban.com/subject/3042470/
神薙 かんなぎ,https://movie.douban.com/subject/3103429/
盾之勇者成名录 第三季 盾の勇者の成り上がり Season 3,https://movie.douban.com/subject/34815452/
新世纪福音战士 第0:0'话 来自黑暗之光 新世紀エヴァンゲリオン Genesis 0:0' THE LIGHT FROM THE DARKNESS,https://movie.douban.com/subject/25815018/
悠久之翼 ef - a tale of memories.,https://movie.douban.com/subject/2330876/
变身侠阿奔 第一季 Ben 10 Season 1,https://movie.douban.com/subject/2046530/
摩登大圣 第一季 The Mask Season 1,https://movie.douban.com/subject/1949528/
勇者、辞职不干了 勇者、辞めます,https://movie.douban.com/subject/35634041/
总之就是非常可爱 女子高中篇 トニカクカワイイ 女子高編,https://movie.douban.com/subject/36449244/
我是大神仙,https://movie.douban.com/subject/35170372/
乙女游戏世界对路人角色很不友好 乙女ゲー世界はモブに厳しい世界です,https://movie.douban.com/subject/35681321/
源氏物语千年纪 源氏物語千年紀 Genji,https://movie.douban.com/subject/3271140/
斗罗大陆1 第六部分,https://movie.douban.com/subject/35191339/
魁!!天兵高校 魁!!クロマティ高校,https://movie.douban.com/subject/1940506/
一禅小和尚,https://movie.douban.com/subject/26969075/
通灵王 シャーマンキング,https://movie.douban.com/subject/35097686/
剧场版 活击/刀剑乱舞 劇場版 活撃/刀剣乱舞,https://movie.douban.com/subject/27155491/
圣诞之吻SS アマガミSS,https://movie.douban.com/subject/4821014/
纳米核心 第一季,https://movie.douban.com/subject/11507137/
宇崎酱想要玩耍 第二季 宇崎ちゃんは遊びたい！ω 2期,https://movie.douban.com/subject/35211719/
逆转裁判 〜对这个“真实”，有异议！〜 逆転裁判 〜その「真実」、異議あり!〜,https://movie.douban.com/subject/26614134/
学生会的一己之见 生徒会の一存 碧陽学園生徒会議事録,https://movie.douban.com/subject/3807884/
